time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
18.187930,1.282439,3.675821,-4.057882
18.217899,-2.170418,6.302666,-3.976831
18.247813,-0.725654,6.865008,-3.966267
18.277782,-0.415048,6.853806,-4.814244
18.317729,-1.040146,6.972138,-6.073919
18.347698,-1.434464,6.282191,-6.551687
18.387614,-0.386797,3.647836,-4.613800
18.417583,-0.587892,3.455279,-3.874445
18.447551,-0.331288,3.462291,-3.619572
18.487499,-0.255141,1.829355,-2.330833
18.517436,0.868617,0.712563,-1.372328
18.547405,1.458292,0.820241,-1.743924
18.587352,0.401950,2.394143,-2.201773
18.617290,0.011126,1.788389,-1.649062
18.647258,1.375661,1.476918,-1.467975
18.687206,1.772576,0.445597,0.066306
18.717174,0.541631,-0.068094,-0.590786
18.747112,0.312394,1.184620,-0.348693
18.787059,1.704838,3.445937,-0.131366
18.817027,2.124102,1.162263,-0.360463
18.846965,0.983762,0.856244,-0.931139
18.886913,0.451467,0.520384,-0.507820
18.916881,0.761181,0.366367,-0.381905
18.946849,0.602527,0.150288,-0.145621
18.986766,-0.415297,-0.313683,0.006121
19.016734,-0.648551,-0.479539,-0.202578
19.046703,-0.364159,-0.113403,-0.217427
19.086650,-0.086225,0.000151,-0.011720
19.116588,0.163948,0.078582,-0.077666
19.146556,0.208626,0.030543,-0.098719
19.186504,-0.001197,-0.215289,-0.098024
19.216441,-0.008622,-0.148131,-0.129030
19.246394,0.120244,-0.048172,-0.065599
19.286341,0.192709,0.072137,0.016846
19.316309,0.064916,-0.035285,0.003331
19.346247,0.037233,-0.094921,0.097988
19.386195,0.348211,0.198694,0.123726
19.416163,0.379120,0.294562,0.091584
19.446101,0.144843,0.121247,0.061247
19.486048,0.214036,0.159495,-0.004658
19.516016,0.381215,0.262584,0.018443
19.545985,0.233195,0.148803,0.011309
19.585902,0.027657,-0.007509,-0.062593
19.615870,0.138446,0.136180,-0.009928
19.645838,0.338631,0.276514,-0.029392
19.685786,0.118209,0.117031,-0.020491
19.715723,-0.078769,-0.000928,0.009518
19.745692,0.238770,0.669969,-0.022228
19.785639,0.316051,-0.196660,0.011411
